Row Labels,Sum of Population,Count of Name,,,,,,,,,,,
MAR," 8,757,562.00 ", 22.00 ,,CountryCode,Continent, Total_population_per_countryCode , Total_city_perCountry_Code ,Ave_Total_per_city_per_country_code,Column1,Row Labels,Count of Regions,,
SMR," 7,096.00 ", 2.00 ,,TTO,North America," 99,997.00 ", 2.00 ,49998.5,,,,,
SOM," 1,177,000.00 ", 3.00 ,,USA,North America," 78,625,774.00 ", 274.00 ,286955.3796,,,,,
SPM," 5,808.00 ", 1.00 ,,VCT,North America," 17,100.00 ", 1.00 ,17100,,,,,
STP," 49,541.00 ", 1.00 ,,VGB,North America," 8,000.00 ", 1.00 ,8000,,,,,
SUR," 112,000.00 ", 1.00 ,,VIR,North America," 13,000.00 ", 1.00 ,13000,,,,,
SVK," 784,143.00 ", 3.00 ,,ASM,Oceania," 7,523.00 ", 2.00 ,3761.5,,,,,
SVN," 386,518.00 ", 2.00 ,,AUS,Oceania," 11,313,666.00 ", 14.00 ,808119,,,,,
SWE," 2,891,431.00 ", 15.00 ,,CCK,Oceania, 670.00 , 2.00 ,335,,,,,
SWZ," 61,000.00 ", 1.00 ,,COK,Oceania," 11,900.00 ", 1.00 ,11900,,,,,
SYC," 41,000.00 ", 1.00 ,,CXR,Oceania, 700.00 , 1.00 ,700,,,,,
SYR," 4,477,784.00 ", 11.00 ,,FJI,Oceania," 77,366.00 ", 1.00 ,77366,,,,,
TCA," 4,800.00 ", 1.00 ,,FSM,Oceania," 30,600.00 ", 2.00 ,15300,,,,,
TCD," 630,465.00 ", 2.00 ,,GUM,Oceania," 10,639.00 ", 2.00 ,5319.5,,,,,
TGO," 375,000.00 ", 1.00 ,,KIR,Oceania," 7,281.00 ", 2.00 ,3640.5,,,,,
THA," 7,953,161.00 ", 12.00 ,,MHL,Oceania," 28,000.00 ", 1.00 ,28000,,,,,
TJK," 685,500.00 ", 2.00 ,,MNP,Oceania," 9,200.00 ", 1.00 ,9200,,,,,
TKL, 300.00 , 1.00 ,,NCL,Oceania," 76,293.00 ", 1.00 ,76293,,,,,
TKM," 972,600.00 ", 4.00 ,,NFK,Oceania, 800.00 , 1.00 ,800,,,,,
TMP," 47,900.00 ", 1.00 ,,NIU,Oceania, 682.00 , 1.00 ,682,,,,,
TON," 22,400.00 ", 1.00 ,,NRU,Oceania," 4,609.00 ", 2.00 ,2304.5,,,,,
TTO," 99,997.00 ", 2.00 ,,NZL,Oceania," 1,847,600.00 ", 9.00 ,205288.8889,,,,,
TUN," 1,798,500.00 ", 8.00 ,,PCN,Oceania, 42.00 , 1.00 ,42,,,,,
TUR," 28,327,028.00 ", 62.00 ,,PLW,Oceania," 12,000.00 ", 1.00 ,12000,,,,,
TUV," 4,600.00 ", 1.00 ,,PNG,Oceania," 247,000.00 ", 1.00 ,247000,,,,,
TWN," 13,569,336.00 ", 42.00 ,,PYF,Oceania," 51,441.00 ", 2.00 ,25720.5,,,,,
TZA," 2,944,034.00 ", 10.00 ,,SLB,Oceania," 50,100.00 ", 1.00 ,50100,,,,,
UGA," 890,800.00 ", 1.00 ,,TKL,Oceania, 300.00 , 1.00 ,300,,,,,
UKR," 20,074,000.00 ", 57.00 ,,TON,Oceania," 22,400.00 ", 1.00 ,22400,,,,,
URY," 1,236,000.00 ", 1.00 ,,TUV,Oceania," 4,600.00 ", 1.00 ,4600,,,,,
USA," 78,625,774.00 ", 274.00 ,,VUT,Oceania," 33,700.00 ", 1.00 ,33700,,,,,
UZB," 5,183,900.00 ", 17.00 ,,WLF,Oceania," 1,137.00 ", 1.00 ,1137,,,,,
VAT, 455.00 , 1.00 ,,WSM,Oceania," 35,900.00 ", 1.00 ,35900,,,,,
VCT," 17,100.00 ", 1.00 ,,ARG,South America," 19,996,563.00 ", 57.00 ,350816.8947,,,,,
VEN," 12,251,091.00 ", 41.00 ,,BOL,South America," 3,378,644.00 ", 8.00 ,422330.5,,,,,
VGB," 8,000.00 ", 1.00 ,,BRA,South America," 85,876,862.00 ", 250.00 ,343507.448,,,,,
VIR," 13,000.00 ", 1.00 ,,CHL,South America," 9,717,970.00 ", 29.00 ,335102.4138,,,,,
VNM," 9,364,813.00 ", 22.00 ,,COL,South America," 20,250,990.00 ", 38.00 ,532920.7895,,,,,
VUT," 33,700.00 ", 1.00 ,,ECU,South America," 5,744,142.00 ", 15.00 ,382942.8,,,,,
WLF," 1,137.00 ", 1.00 ,,FLK,South America," 1,636.00 ", 1.00 ,1636,,,,,
WSM," 35,900.00 ", 1.00 ,,GUF,South America," 50,699.00 ", 1.00 ,50699,,,,,
YEM," 1,743,700.00 ", 6.00 ,,GUY,South America," 254,000.00 ", 1.00 ,254000,,,,,
YUG," 2,189,507.00 ", 8.00 ,,PER,South America," 12,147,242.00 ", 22.00 ,552147.3636,,,,,
ZAF," 15,196,370.00 ", 44.00 ,,PRY,South America," 1,020,020.00 ", 5.00 ,204004,,,,,
ZMB," 2,473,500.00 ", 7.00 ,,SUR,South America," 112,000.00 ", 1.00 ,112000,,,,,
ZWE," 2,730,420.00 ", 6.00 ,,URY,South America," 1,236,000.00 ", 1.00 ,1236000,,,,,
(blank),,,,VEN,South America," 12,251,091.00 ", 41.00 ,298807.0976,,,,,
Grand Total," 1,429,559,884.00 "," 4,079.00 ",,,,,,,,,,,
